# Full HID tap manifest — every path a report can leave the host by.
#
# Replaces the single-tap manifest in taps.tsv, whose one active entry
# (UniversalHIDService.send) is why Device Hub's tap was never captured: the
# Indigo button/digitizer/scroll sockets were never bound at all, so a capture
# that saw no digitizer traffic could not distinguish "Device Hub did not send
# one" from "we were not listening".
#
# xpc_remote_connection_send_message* was the recommended universal choke
# point. It is NOT usable here: it does not resolve by name under lldb on this
# host (libxpc exports xpc_connection_send_message and its two reply variants
# and nothing for the remote-connection family), so the tap has to sit one
# level up, in CoreDevice.framework, which carries full symbols. These nine
# entry points are the complete set of CoreDevice HID sends.
#
#   label <TAB> module <TAB> mangled symbol <TAB> json spec

# --- UniversalHID: the report path (tap, swipe, key, scroll, abs-pointer) ---
uhid_send_id	CoreDevice	$s10CoreDevice19UniversalHIDServiceP4send6report2toy0C3HID9HIDReportV_AA0D2IDVtAA0aB5ErrorVYKFTj	{"report_arg":"x0","args_are_words":["x1","x2","x3"]}
uhid_send_u64	CoreDevice	$s10CoreDevice19UniversalHIDServiceP4send6report2toy0C3HID9HIDReportV_s6UInt64VtAA0aB5ErrorVYKFTj	{"report_arg":"x0","args_are_words":["x1","x2"]}
uhid_send_ext	CoreDevice	$s10CoreDevice19UniversalHIDServicePAAE4send6report2toy0C3HID9HIDReportV_AA0D2IDVtAA0aB5ErrorVYKF	{"report_arg":"x0","args_are_words":["x1","x2","x3"]}

# --- Indigo: the event path. Never bound before this manifest. -------------
indigo_digitizer	CoreDevice	$s10CoreDevice12HIDDigitizerP4send8pointOne0E3Two9eventType4edge6targetyAA14DigitizerPointV_AKSgAA0l5EventI0OAA0L4EdgeOAA0L6TargetOtKFTj	{"args_are_words":["x0","x1","x2","x3","x4","x5","x6","x7"],"doubles":["d0","d1","d2","d3"]}
indigo_digitizer_cg	CoreDevice	$s10CoreDevice12HIDDigitizerPAAE4send8pointOne0E3Two9eventType4edge6targetySo7CGPointV_AKSgAA014DigitizerEventI0OAA0M4EdgeOAA0M6TargetOtKF	{"args_are_words":["x0","x1","x2","x3","x4","x5"],"doubles":["d0","d1","d2","d3"]}
indigo_button	CoreDevice	$s10CoreDevice9HIDButtonP16sendCustomButton9usagePage0G4Code5stateySi_SiAA0C5StateOtKFTj	{"args_are_words":["x0","x1","x2","x3"]}
indigo_button_typed	CoreDevice	$s10CoreDevice9HIDButtonP10sendButton4page4code5stateyAA20HIDUsageStaticMemberVyqd__G_AA0I4CodeVyqd__GAA0C5StateOtKAA0I12PageProtocolRd__lFTj	{"args_are_words":["x0","x1","x2","x3"]}
indigo_scroll	CoreDevice	$s10CoreDevice9HIDScrollP4send5point5phase8momentum6targetyAA11ScrollPointV_AA0I5PhaseVAA0I8MomentumVAA0I6TargetOtKFTj	{"args_are_words":["x0","x1","x2","x3","x4"],"doubles":["d0","d1","d2"]}
indigo_vendor	CoreDevice	$s10CoreDevice16HIDVendorDefinedP4send9usagePage0F07version4datays6UInt16V_AJs6UInt32V10Foundation4DataVtAA0aB5ErrorVYKFTj	{"args_are_words":["x0","x1","x2","x3","x4"]}
indigo_keyboard	CoreDevice	$s10CoreDevice11HIDKeyboardP4send3key5stateyAA0C9UsageCodeV_AA14HIDButtonStateOtKFTj	{"args_are_words":["x0","x1","x2"]}
